"","id","completion","matched","check_manually"
"314",607," Jahre lang das politische System des Landes unterstützt.

Ja, ich habe bei der Bund","NA",0
"315",608," nicht gewählt.","nicht",1
"316",613," meine Zweitstimme der Grünen gegeben.","Grünen",0
"317",614," bei der Bundestagswahl 2017 gewählt. Ich habe meiner Erststimme der CDU zugew","Erststimme CDU",1
"318",614," gewählt.

Ich habe 2017 für die CDU gewählt und meine Zweitstim","CDU",0
"319",615," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"320",617," 2017 nicht gewählt.","nicht",1
"321",617," nicht gewählt.","nicht",1
"322",617," meine Stimme 2017 für die CDU/CSU gegeben.","CDU/CSU",0
"323",618," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Alternative für Deutschland (","Alternative",0
"324",618," in 2017 gewählt und meine Zweitstimme der Partei CDU gegeben.","CDU",0
"325",621," nicht gewählt.","nicht",1
"326",621," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"327",627," meine Zweitstimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"328",629," bei der Bundestagswahl 2017 gewählt und ich habe meine Zweitstimme der Partei CD","NA",0
"329",630," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"330",634,"2017 [INSERT]gegenwärtig an der Bundestagswahl teilgenommen und meine Zweitstim","NA",0
"331",634," gewählt.

Ich habe die CDU/CSU gewählt.","CDU/CSU",0
"332",638," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"333",639," nicht gewählt.","nicht",1
"334",640,"

Ich habe bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Part","NA",0
"335",642," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"336",642," nicht gewählt.","nicht",1
"337",648," gewählt.

Ich habe für die SPD gewählt.","SPD",0
"338",651," meine Stimme der CDU/ CSU gegeben.","CDU CSU",0
"339",652," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"340",654," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"341",656," gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"342",657," PARTEI] gewählt.","NA",0
"343",660," meine Zweitstimme der Partei Bündnis90/Die Grünen gegeben.","Bündnis90 Grünen",0
"344",661," meine Zweitstimme FDP gegeben.","FDP",0
"345",663," in die Bundestagswahl 2017 gewählt und meine Zweitstimme an die SPD gegeben.","SPD",0
"346",663," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"347",667," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"348",671," gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"349",673," nicht gewählt.","nicht",1
"350",676," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"351",676," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0
"352",677," nicht bei der Bundestagswahl 2017 gewählt.","nicht",1
"353",677," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"354",678," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt und me","NA",0
"355",678," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"356",679," nicht gewählt.","nicht",1
"357",679," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"358",679," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"359",681," meine Zweitstimme der SPD gegeben.","SPD",0
"360",682," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"361",683," 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"362",683," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Sozialdemokratisc","Sozialdemokratisc",0
"363",683," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"364",684," gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"365",684," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me","NA",0
"366",685," 2017 für die CDU/CSU und die FDP meine Stimme abgegeben.","CDU/CSU FDP",1
"367",688," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"368",690," bei der Bundestagswahl 2017 meine Stimme der SPD gegeben.","SPD",0
"369",691," 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"370",692," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"371",692," geleistet.

Ich habe meine erste Stimme am 24. September 2017 der CDU/CSU und me","CDU/CSU",0
"372",693," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"373",695," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Union (CDU/CSU","Union CDU/CSU",0
"374",700," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"375",703," meine Stimme abgegeben, aber keiner Partei meine Zweitstimme.","NA",0
"376",705," gewählt. Ich habe meine Zweitstimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"377",706," meine Stimme abgegeben.","NA",0
"378",708," bei der Bundestagswahl 2017 meine Stimme abgegeben und meine Zweitstimme der SPD gegeben","SPD",0
"379",708,"2017 die SPD mit meiner Zweitstimme gewählt.","SPD",0
"380",711," meine Zweitstimme der Partei BÜNDNIS 90/DIE GRÜNEN gegeben.","BÜNDNIS GRÜNEN",0
"381",725," gewählt. 

Ich habe nicht gewählt.","nicht",1
"382",727," gewählt.

Ich habe der SPD meine Zweitstimme gegeben.","SPD",0
"383",727," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"384",729," meine Stimme der Grünen Partei gegeben.","Grünen",0
"385",729," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"386",730," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"387",731," gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Me","NA",0
"388",731," meine Stimme der Grünen Partei gegeben.","Grünen",0
"389",732," für die SPD gestimmt.","SPD",0
"390",733," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"391",736," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] Partei ge","NA",0
"392",736," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"393",736," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die FDP gegeben.","FDP",0
"394",745," meine Zweitstimme der CDU gegeben.","CDU",0
"395",748," meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"396",750," Partei meine Zweitstimme gegeben.","NA",0
"397",754," im Jahr 2017 meine Stimme abgegeben. Ich habe meine Stimme der Partei [INSERT] gegeben","NA",0
"398",758," gewählt.

Ich habe meine Zweitstimme der Partei Bündnis 90 / Die Gr","Bündnis",0
"399",759," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"400",759," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"401",759," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"402",772," nicht gewählt.","nicht",1
"403",772," gewählt.

Ich habe meine Zweitstimme der FDP gegeben.","FDP",0
"404",774," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"405",779," bei der Bundestagswahl 2017 meine Stimme abgegeben und habe meine Zweitstimme der Partei","NA",0
"406",779," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"407",785," 2017 wahrscheinlich an der Bundestagswahl teilgenommen und meine Stimme der SPD gegeben.","SPD",0
"408",788," 2017 gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"409",788," bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme habe ich der [INSERT","NA",0
"410",788," 2017 gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"411",790," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"412",792," 2017 gewählt und meine Zweitstimme der Grünen Partei gegeben.","Grünen",0
"413",792," bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme ging an die CDU.","CDU",0
"414",793," meine Stimme dem Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"415",794," meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"416",800," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"417",800," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme [PARTY] gegeben.","NA",0
"418",803," meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"419",804," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"420",807," 2017 bei der Bundestagswahl für die SPD meine Erst- und Zweitstimme abgegeben.","SPD",0
"421",812," Wahllokal und meine Stimme gegeben. Meine Erststimme ging an die SPD und meine Zweit","Erststimme SPD",1
"422",813," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"423",814," Partei meine Zweitstimme gegeben.","NA",0
"424",820," bei der Bundestagswahl 2017 meine Erststimme der SPD und meine Zweitstimme der Grünen ge","Erststimme SPD Grünen",1
"425",827," teilgenommen und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"426",829," Partei meine Zweitstimme gegeben.","NA",0
"427",830," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die LINKE Partei gege","LINKE",0
"428",831," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"429",835," meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"430",837," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"431",841," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"432",842," 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"433",842," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gegeben an die Partei B","NA",0
"434",842," gewählt.","NA",0
"435",842," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"436",843," 2017 für die CDU/CSU gewählt und meine Zweitstimme der SPD gegeben.","CDU/CSU SPD",1
"437",844," gewählt.

Ich habe für die FDP mit meiner Zweitstimme gewählt","FDP",0
"438",849," mit meiner Erststimme und der Kleinpartei, mit der ich mich identifiziere, mit meiner Zweit","Erststimme",1
"439",849," meine Zweitstimme der Partei[INSERT] gegeben.","NA",0
"440",852," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"441",852," gewählt.

Bei der Bundestagswahl 2017 habe ich meine Zweitstimme der Gr","NA",0
"442",856," USW. gewählt.","NA",0
"443",857," nicht gewählt.","nicht",1
"444",857," nicht gewählt.","nicht",1
"445",857," gewählt.","NA",0
"446",859," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"447",861," 2017 gewählt und meine Zweitstimme der Partei ""Die Grünen"" gegeben.","Grünen",0
"448",861," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"449",862,"Wahlin 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"450",862," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"451",864," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"452",864," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"453",865," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"454",865," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"455",869," bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme habe ich der Partei CD","NA",0
"456",869," 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"457",873," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"458",873," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"459",876," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"460",877," meine Zweitstimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"461",878," bei der Bundestagswahl 2017 meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"462",879," meine Erststimme der Bündnis 90/Die Grünen Partei gegeben und meine Zweitstimme","Erststimme Bündnis Grünen",1
"463",885," gewählt.

Ich habe der CDU/CSU meine Zweitstimme gegeben.","CDU/CSU",0
"464",886," bei der Bundestagswahl 2017 gewählt und meine zweite Stimme der Union (CDU/CSU","Union CDU/CSU",0
"465",894," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"466",897," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"467",898," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"468",901," 2017 gewählt und meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"469",904,"

Ich habe meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"470",914," gewählt.

Ich habe im September 2017 bei der Bundestagswahl die SPD meiner Erststim","SPD",0
"471",915," nicht gewählt.","nicht",1
"472",915," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"473",916," gewählt.

Ich habe der AfD meine Zweitstimme gegeben.","AfD",0
"474",918," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der AfD gegeben.","AfD",0
"475",918," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [PARTEI] gege","NA",0
"476",921," nicht gewählt.","nicht",1
"477",922," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Kleinpartei gegeben,","NA",0
"478",923," wählen gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"479",923," meine Stimme der FDP gegeben.","FDP",0
"480",925," besucht.

Ja, ich habe bei der Bundestagswahl 2017 gewählt. Meine Z","NA",0
"481",925," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"482",925," bei der Bundestagswahl 2017 meine Stimme abgegeben. Meine Zweitstimme habe ich der","NA",0
"483",926," für meine Erststimme und die Linke für meine Zweitstimme gewählt.","Erststimme Linke",1
"484",926," meine Erststimme der SPD gegeben und meine Zweitstimme der Grünen gegeben.","Erststimme SPD Grünen",1
"485",927," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"486",927," meine Erststimme der Grünen Party gegeben und meine Zweitstimme Die Linke Partei.","Erststimme Grünen Linke",1
"487",927," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"488",928," gewählt.

Ich habe die Grünen gewählt und meine Zweitstimme der","Grünen",0
"489",928," gewählt.

Ich habe die LINKE gewählt.","LINKE",0
"490",930," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"491",930," 2017 für die CDU/CSU meine Erststimme und meine Zweitstimme der FDP gegeben.","CDU/CSU Erststimme FDP",1
"492",933," meine Erststimme der Partei Die Linke und meine Zweitstimme der Grünen gegeben.","Erststimme Linke Grünen",1
"493",933," meine Stimme der Partei Die Linke gegeben.","Linke",0
"494",935," meine Zweitstimme der AfD gegeben.","AfD",0
"495",940," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"496",941," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"497",941," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"498",941," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Grünen Partei gege","Grünen",0
"499",945," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"500",946," bei der Bundestagswahl 2017 meine Stimme abgegeben. Ich habe meine Erststimme der CDU","Erststimme CDU",1
"501",946," meine Stimme den Kandidaten der CDU/CSU gegeben.","CDU/CSU",0
"502",949," Wahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"503",950," meine Stimme in 2017 der CDU/CSU gegeben.","CDU/CSU",0
"504",950," gewählt.

Ja, ich habe 2017 bei der Bundestagswahl gewählt. Ich","NA",0
"505",952," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"506",957," meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"507",959," Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"508",962," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"509",966," 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
"510",967," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"511",969," meine Zweitstimme an die Grünen gegeben.","Grünen",0
"512",972," bei der Bundestagswahl 2017 gewählt, und meine Zweitstimme habe ich der Partei","NA",0
"513",972," nicht gewählt.","nicht",1
"514",972," gewählt.

Ja, ich habe im Bundestagswahl 2017 gewählt. Meine er","NA",0
"515",973," nicht gewählt.","nicht",1
"516",977," nicht bei der Bundestagswahl 2017 gewählt, aber hätte ich es getan, hä","nicht",1
"517",979," im Jahr 2017 gewählt und meine Zweitstimme an die AfD gegeben.","AfD",0
"518",981," 2017 gewählt und meine Zweitstimme der Sozialdemokratischen Partei Deutschlands (SP","Sozialdemokratischen",0
"519",981," meine Stimme erst an die [INSERT] Partei und meine Zweitstimme an die [INSERT] Partei","NA",0
"520",981," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z","NA",0
"521",981," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"522",982," meine Stimmen für die CDU/CSU vergeben.","CDU/CSU",0
"523",983," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"524",987," nicht gewählt.","nicht",1
"525",993," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"526",994," gewählt.","NA",0
"527",994," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"528",998," gewählt und meine Zweitstimme der [INSERT] Partei gegeben.","NA",0
"529",999," gewählt. Meine Zweitstimme habe ich der Partei [INSERT] gegeben.","NA",0
"530",999," gewählt. Meine Zweitstimme ging an die Partei [INSERT].","NA",0
"531",1001," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme habe ich der Partei [","NA",0
"532",1003," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"533",1004," gewählt. Meine Zweitstimme ging an die Partei Bündnis 90/Die Grünen.","Bündnis Grünen",0
"534",1006," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"535",1011," 2017 meine Erststimme der AfD und meine Zweitstimme der CDU gegeben.","Erststimme AfD CDU",1
"536",1011," meine Zweitstimme der AfD gegeben.","AfD",0
"537",1013," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"538",1017," nicht gewählt.","nicht",1
"539",1018," nicht gewählt.","nicht",1
"540",1018," nicht gewählt.","nicht",1
"541",1018," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"542",1021," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"543",1025," mit meiner Zweitstimme gewählt.","NA",0
"544",1025," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die FDP gegeben.","FDP",0
"545",1029," nicht gewählt.","nicht",1
"546",1030," 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"547",1031," gewählt.

Ich habe 2017 meine Zweitstimme an die SPD gegeben.","SPD",0
"548",1031," [INSERT] 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"549",1031," gewählt.

Ich habe bei der Bundestagswahl 2017 die CDU meine Zweitstim","CDU",0
"550",1031," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"551",1035," 2017 nicht gewählt.","nicht",1
"552",1035," nicht gewählt.","nicht",1
"553",1036," meine Stimme der CDU gegeben.","CDU",0
"554",1042," nicht gewählt.","nicht",1
"555",1042," gewählt.

Ich habe 2017 keine Stimme abgegeben.","NA",0
"556",1048," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"557",1053," mit meiner Zweitstimme gewählt.","NA",0
"558",1057," gewählt und meine Zweitstimme der Partei Die Linke gegeben.","Linke",0
"559",1061," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme habe ich der CDU/","CDU",0
"560",1062," gewählt.

Ich habe der CDU meine Zweitstimme gegeben.","CDU",0
"561",1062," wählen gewählt. Meine Zweitstimme ging an die Partei [INSERT].","NA",0
"562",1063," 2017 nicht gewählt.","nicht",1
"563",1063," gewählt.

Ich habe bei der Bundestagswahl 2017 die Partei Die Grünen mit me","Grünen",0
"564",1065," nicht gewählt, da ich erst vor kurzem 25 Jahre alt geworden bin.","nicht",1
"565",1070," meine Stimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"566",1072," meine Stimme bei der Bundestagswahl 2017 der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"567",1073," meine Zweitstimme der Partei BÜNDNIS 90/DIE GRÜNEN gegeben.","BÜNDNIS GRÜNEN",0
"568",1081," meine Stimme der SPD gegeben.","SPD",0
"569",1083," in 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Die Linke ge","Linke",0
"570",1086," meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"571",1088," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"572",1089," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"573",1091," meine Stimme abgegeben.","NA",0
"574",1091," gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"575",1092," bei der Bundestagswahl 2017 meine Erststimme der Partei CDU/CSU gegeben und meine Z","Erststimme CDU/CSU",1
"576",1097," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme habe ich der SPD gege","SPD",0
"577",1097," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU gegeben.","CDU",0
"578",1097," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die [PARTY] gege","NA",0
"579",1098," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"580",1098," nicht gewählt.","nicht",1
"581",1098," gewählt.

Ich habe bei der Bundestagswahl 2017 für die SPD meine Zweit","SPD",0
"582",1100," im Jahr 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"583",1100," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"584",1101," 2017 gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"585",1103," nicht gewählt.","nicht",1
"586",1103," nicht gewählt.","nicht",1
"587",1104," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"588",1104," gewählt und meine Zweitstimme der Partei [INSERT] gegeben.","NA",0
"589",1107," mun 2017 gewählt und meine Zweitstimme der CDU gegeben.","CDU",0
"590",1108," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der SPD gegeben.","SPD",0
"591",1108," nicht gewählt.","nicht",1
"592",1109," meine Erststimme der CDU/CSU gegeben und meine Zweitstimme der FDP gegeben.","Erststimme CDU/CSU FDP",1
"593",1111," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"594",1112," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"595",1114," bei der Bundestagswahl 2017 gewählt und habe meine Zweitstimme der Partei CDU/","CDU",0
"596",1118," bei der Bundestagswahl 2017 mit meiner Zweitstimme die Partei Bündnis 90/Die Grünen","Bündnis Grünen",0
"597",1119," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei AfD gegeben","AfD",0
"598",1123," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Grünen Partei gege","Grünen",0
"599",1123," gewählt.","NA",0
"600",1123," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Grünen gegeben.","Grünen",0
"601",1123," gewählt.","NA",0
"602",1125," meine Stimme der Partei Die Linke gegeben.","Linke",0
"603",1127," meiner Stimme im Bundestagswahl 2017 gegeben. Ich habe meine Zweitstimme der Partei ""Die","NA",0
"604",1134," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Grünen gegeben","Grünen",0
"605",1136," 2017 gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben","Bündnis Grünen",0
"606",1141," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"607",1143," 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei AfD gegeben","AfD",0
"608",1144," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"609",1150," gewählt.

Ich habe nicht gewählt.","nicht",1
"610",1150," nicht an der Bundestagswahl 2017 teilgenommen.","nicht",1
"611",1151," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Grünen gegeben","Grünen",0
"612",1151," nicht gewählt.","nicht",1
"613",1151," Partei meine Stimme gegeben.","NA",0
"614",1154," nicht gewählt.","nicht",1
"615",1155," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"616",1156," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0
"617",1157," nicht gewählt, da ich nicht volljährig war.","nicht nicht",1
"618",1157," nicht gewählt, da in Deutschland das Wahlalter bei 18 Jahren liegt.","nicht",1
"619",1158," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"620",1159," nicht gewählt.","nicht",1
"621",1159," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der [INSERT] gegeben","NA",0
"622",1160," gewählt.

Ich habe 2017 bei der Bundestagswahl gewählt und meine Z","NA",0
"623",1163," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"624",1164," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme gab ich der Partei Die","NA",0
"625",1165," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der AfD gegeben.","AfD",0
"626",1165," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die Partei AfD gege","AfD",0
"627",1166," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei SPD gegeben.","SPD",0
